Gene	P-val	FDR	Log2fc	Mean	Order in heatmap supp. fig 6S(left)	Order in heatmap supp. fig 6S (right)	Order in heatmap supp. fig 6T (left)	Order in heatmap supp. fig 6T (right)	Differential expression Neuronal IPC -Neuroblast - V2 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V2 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuroblast - V3 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V3 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V3 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V2 chemistry pval	Differential expression Neuronal IPC -Neuron - V2 chemistry FDR	Differential expression Neuronal IPC -Neuron - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V3 chemistry pval	Differential expression Neuronal IPC -Neuron - V3 chemistry FDR	Differential expression Neuronal IPC -Neuron- V3 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia- V2 chemistry pval	Differential expression Neuronal IPC -Radial glia - V2 chemistry FDR	Differential expression Neuronal IPC -Radial glia - V2 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia V3 chemistry pval	Differential expression Neuronal IPC -Radial glia - V3 chemistry FDR	Differential expression Neuronal IPC -Radial glia- V3 chemistry Log2fc
ERC2	3.01E-44	8.35E-43	1.67E+00	3.50E-02			97	19	1.04E-25	1.23E-25	3.29E-01	5.54E-22	6.76E-22	2.56E-01	3.18E-90	4.62E-90	-4.23E-02	4.90E-221	8.15E-221	-4.85E-01						
FCHO1	2.23E-38	5.39E-37	1.62E+00	4.37E-02			85	64	9.83E-13	1.10E-12	6.15E-01	4.20E-08	4.68E-08	5.25E-01	2.20E-15	2.45E-15	8.63E-01	1.82E-20	2.07E-20	7.49E-01						
FKBP1B	5.86E-46	1.69E-44	1.41E+00	5.59E-02			33	7	4.75E-128	8.98E-128	-8.47E-02	5.97E-252	1.40E-251	-4.65E-01	0.00E+00	0.00E+00	-8.98E-01	0.00E+00	0.00E+00	-1.29E+00						
FLRT3	1.13E-139	1.29E-137	2.15E+00	1.31E-01			57	132	3.41E-32	4.20E-32	1.19E+00	1.90E-82	2.81E-82	1.13E+00	0.00E+00	0.00E+00	5.16E+00	0.00E+00	0.00E+00	4.94E+00						
FRMD4B	5.83E-179	1.08E-176	1.42E+00	4.16E-01			23	93	0.00E+00	0.00E+00	-4.50E-01	1.92E-186	3.64E-186	-2.63E-01	1.77E-51	2.29E-51	5.77E-01	1.56E-163	2.41E-163	-4.88E-02						
GAP43	1.79E-278	8.09E-276	1.86E+00	5.67E-01			76	9	0.00E+00	0.00E+00	-1.23E+00	0.00E+00	0.00E+00	-7.34E-01	0.00E+00	0.00E+00	-1.61E+00	0.00E+00	0.00E+00	-1.10E+00						
GNG3	3.35E-169	5.49E-167	1.89E+00	1.96E-01			48	61	0.00E+00	0.00E+00	-7.68E-01	0.00E+00	0.00E+00	-6.63E-01	0.00E+00	0.00E+00	-6.84E-01	0.00E+00	0.00E+00	-4.23E-01						
GPR12	6.31E-34	1.37E-32	2.00E+00	1.84E-02			28	26	5.40E-279	1.55E-278	-2.42E+00	0.00E+00	0.00E+00	-2.30E+00	0.00E+00	0.00E+00	-3.42E+00	0.00E+00	0.00E+00	-2.98E+00						
GRIA2	5.83E-49	1.78E-47	1.38E+00	9.07E-02			125	18	0.00E+00	0.00E+00	-2.42E+00	0.00E+00	0.00E+00	-1.82E+00	0.00E+00	0.00E+00	-2.99E+00	0.00E+00	0.00E+00	-2.16E+00						
HECW1	2.02E-46	5.91E-45	1.55E+00	4.35E-02			20	12	3.45E-80	5.29E-80	-2.85E-01	5.00E-97	7.83E-97	-2.15E-01	9.06E-248	1.81E-247	-8.88E-01	2.65E-287	4.88E-287	-3.94E-01						
HIST1H2BH	5.23E-226	1.52E-223	1.72E+00	4.19E-01			114	134	0.00E+00	0.00E+00	4.41E+00	0.00E+00	0.00E+00	3.42E+00	0.00E+00	0.00E+00	7.15E+00	0.00E+00	0.00E+00	4.49E+00						
HIST1H4J	3.95E-67	1.72E-65	1.66E+00	8.98E-02			60	127	2.80E-111	4.90E-111	1.91E+00	2.49E-19	2.93E-19	1.39E+00	7.96E-131	1.29E-130	2.37E+00	5.96E-07	6.28E-07	1.60E+00						
